,Unnamed: 0,indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupo_articulos,subtotal_ventas_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,alimentos_preparados_rotiseria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar
0,0,01/01/2017,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
1,1,01/02/2017,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
2,2,01/03/2017,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
3,3,01/04/2017,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
4,4,01/05/2017,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
5,5,01/06/2017,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
6,6,01/07/2017,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
7,7,01/08/2017,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
8,8,01/09/2017,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
9,9,01/10/2017,161382.8,30131.5,162332761.4,139351757.5,5751181.8,162332761.4,49271257.0,43332959.2,56170596.4,7969403.2,162332761.4,112969100.0,19304580.4,40308570.0,4446217.5,16358708.2,19975807.9,6358197.5,1263304.4,22173586.3,3330829.3
